"Table A1.  Value of foreign holdings of U.S. securities, by country and type of security, as"
"of June 29, 2018"
"Millions of dollars"
"","","","","Debt (LT = l","ong-term; ST = s","hort-term)"
"","Total","","LT","LT","LT","LT"
"Countries and Regions","(LT and ST)","Equities","Total","Treasury","Agency","Corp","ST"
"Wallis and Futuna","*","*",0,0,0,0,0
"West Bank and Gaza","*","*",0,0,0,0,0
"Yemen","*","*","*",0,0,"*",0
"Zambia",126,2,124,124,0,"*",0
"Zimbabwe",6,5,"*",0,0,"*",0
"International and regional organizations",85798,5212,60642,41672,8159,10812,19943
"Country Unknown",79441,733,78688,"*",38,78650,20
""
"Total",19400376,8139176,10281630,5466964,1024200,3790465,979571
""
"of which: Holdings of foreign official"
"institutions",5794117,1041932,4385782,3650929,578997,155857,366403
""
"Totals by Region:"
"Total Africa",90937,17912,39926,35880,1418,2628,33099
"Total Asia",6462272,1681990,4500068,3220334,784169,495565,280215
"Total Caribbean",2339424,1289950,892572,163722,65140,663710,156902
"Total Europe",8169935,3829472,3918404,1475465,136890,2306049,422059
"Total Latin America",624714,137055,450646,406918,18952,24776,37013
"Canada",1210021,928148,262572,86556,5141,170875,19301
"Australia/Oceania",337834,248703,78113,36418,4293,37401,11019
"Country Unknown",79441,733,78688,"*",38,78650,20
"International and regional organizations",85798,5212,60642,41672,8159,10812,19943
""
""
"* Greater than zero but less than $500,000."
"n.a. Not available."
""
"1. Separate reporting for certain country groups began with the 2014 survey."
""
"Entries for Bonaire, Sint Eustatius, and Saba; Curacao; and Sint Maarten were previously reported together as Netherlands Antilles."
""
"Entries for Guadeloupe and for Saint Martin and Saint Barthelemy were previously reported together as Guadeloupe."
""
"Entries for Kosovo, Montenegro, and Serbia were previously reported together as Serbia."
""
"2. Excludes Hong Kong and Macau, which are reported separately."
""
""
""
