                                                                               
                                                                               
                                                                               
                                                                               
                                                                               
Table A6.  Foreign Holdings of U.S. Long-Term Securities, by Country and Security
Type, as of June 30, 2025
 Millions of dollars
                                                 Total                                                    Agency                         Corporate
 Countries and Regions                            LT            Equities        Treasury         NonABS            ABS           NonABS            ABS
  Zimbabwe                                                  *               *               *               0               0               *               0
  Int. and reg. org.                                   128636           19562           63180            4985           10093           23221            7596
  Country Unknown                                      116793               *               *               0               0          116788               0

  Total                                              33699516        19859814         7664654           33740         1310612         4515430          315264

  of which: Holdings of foreign official
  institutions                                        6502370         2229695         3499698            6639          517185          227113           22040

  Totals by Region:
  Total Africa                                          82008           37558           38703               *            1334            3936               *
  Total Asia                                          9376047         4504004         3283554            6313          734604          797785           49786
  Total Caribbean                                     3901576         2558341          420787            7082          130576          678522          106269
  Total Europe                                       15533940         9618111         2933867           11160          254857         2602055          113890
  Euro area countries                                 8604320         4929046         1524950            6886          188285         1872350           82803
  Total Latin America                                  821154          298459          451872            2951           12438           54324            1111
  Total Oceania                                        879117          758525           67264               *            7715           40009            5469


* Greater than zero but less than $500 million.
n.a. Not available.



