"Table A12.  Maturity Structure of Foreign-Held U.S. Long-Term Debt, as"
"of June 30, 2022"
"Millions of dollars, parts may not sum to total as some bonds have unknown maturities."
""
""
"","June","June","","June","June","","June","June","","June"
"",2016,2017,"",2018,2019,"",2020,2021,"",2022
"5 to 6 years",14379,"",13572,11109,"",12969,14666,1,4849,13114
"6 to 7 years",12864,"",11807,11708,"",11479,14317,1,2188,9719
"7 to 8 years",9507,"",10010,8771,"",10597,9358,"",9493,12044
"8 to 9 years",10004,"",9307,8754,"",7479,8883,1,2550,8195
"9 to 10 years",10766,"",11857,8744,"",8529,17133,1,0856,7896
"10 to 15 years",9649,"",5731,5532,"",7057,9856,"",9719,9610
"15 to 20 years",7950,"",7236,7688,"",8015,11247,1,0059,9019
"20 to 25 years",8484,"",7079,5674,"",5217,6769,"",6654,4805
"25 to 30 years",15991,"",14626,12674,"",14684,22358,1,7224,13202
"30+ years",5822,"",4875,4781,"",7072,9254,"",7974,6436
""
"Corporate Private",3332495,3,672995,3634608,37,74637,4130679,440,9882,3762865
"1 year or less",226763,"",248726,206833,2,39334,233198,23,4259,215828
"1 to 2 years",298973,"",263769,283950,3,03517,291439,29,3538,263154
"2 to 3 years",281277,"",335076,334920,3,42450,341344,28,8634,331363
"3 to 4 years",282288,"",329710,343466,3,52741,299453,38,4924,346655
"4 to 5 years",333390,"",361291,361362,3,05760,394918,40,2625,342913
"5 to 6 years",223874,"",290738,249248,2,75301,292885,33,9930,265846
"6 to 7 years",247330,"",224424,256324,2,53043,303446,28,5073,247482
"7 to 8 years",154467,"",205532,212907,2,44662,207185,26,3330,238237
"8 to 9 years",145745,"",168691,194326,1,46283,167803,24,4662,157341
"9 to 10 years",157934,"",191256,132803,1,42217,229700,18,8223,131557
"10 to 15 years",152907,"",164737,174041,1,97784,258769,28,7289,283212
"15 to 20 years",204418,"",263699,289599,3,00691,333652,32,4666,229261
"20 to 25 years",225278,"",188715,167366,1,92953,226129,24,4690,208949
"25 to 30 years",255737,"",299722,295652,3,44665,392758,44,4677,327355
"30+ years",107196,"",99840,99882,1,01405,131230,15,2067,139170
""
""
""
