Methodology,Year,Investor,Asset_Class,Asset_Class_Code,Destination,Destination_Restated,Value
4,2018,USA,4,BC,HKG,CHN,0.24147513508796692
4,2018,USA,4,BC,VGB,CHN,0.04772701771420346
4,2018,USA,3,E,CYM,CHN,0.7917778491973877
4,2018,USA,3,E,HKG,CHN,0.33074504137039185
4,2018,USA,3,E,VGB,CHN,0.037738390266895294
4,2017,USA,4,BC,CYM,CHN,0.2775505483150482
4,2017,USA,4,BC,HKG,CHN,0.26643121242523193
4,2017,USA,4,BC,VGB,CHN,0.05109750106930733
4,2017,USA,3,E,CYM,CHN,0.8335884213447571
4,2017,USA,3,E,HKG,CHN,0.3223625123500824
4,2017,USA,3,E,VGB,CHN,0.0264452937990427
4,2016,USA,4,BC,CYM,CHN,0.19990244507789612
4,2016,USA,4,BC,HKG,CHN,0.24252104759216309
4,2016,USA,4,BC,VGB,CHN,0.050389233976602554
4,2016,USA,3,E,CYM,CHN,0.7879151701927185
4,2016,USA,3,E,HKG,CHN,0.35045184793781325
4,2016,USA,3,E,VGB,CHN,0.02793390303850174
4,2015,USA,4,BC,CYM,CHN,0.18851585686206818
4,2015,USA,4,BC,HKG,CHN,0.30373749136924744
4,2015,USA,4,BC,VGB,CHN,0.05862174928188324
4,2015,USA,3,E,CYM,CHN,0.7768540382385254
4,2015,USA,3,E,HKG,CHN,0.3635897636413574
4,2015,USA,3,E,VGB,CHN,0.03929513320326805
4,2014,USA,4,BC,CYM,CHN,0.16037307679653168
4,2014,USA,4,BC,HKG,CHN,0.39155155420303345
4,2014,USA,4,BC,VGB,CHN,0.05263354629278183
4,2014,USA,3,E,CYM,CHN,0.7959463596343994
4,2014,USA,3,E,HKG,CHN,0.3541570007801056
4,2014,USA,3,E,VGB,CHN,0.03119930811226368
4,2013,USA,4,BC,CYM,CHN,0.15089130401611328
4,2013,USA,4,BC,HKG,CHN,0.4477229118347168
4,2013,USA,4,BC,VGB,CHN,0.08989201486110687
4,2013,USA,3,E,CYM,CHN,0.697618842124939
4,2013,USA,3,E,HKG,CHN,0.3700490891933441
4,2013,USA,3,E,VGB,CHN,0.009742902591824532
4,2012,USA,4,BC,CYM,CHN,0.10879353433847427
4,2012,USA,4,BC,HKG,CHN,0.38788777589797974
4,2012,USA,4,BC,VGB,CHN,0.05223764106631279
4,2012,USA,3,E,CYM,CHN,0.7190796136856079
4,2012,USA,3,E,HKG,CHN,0.42223379015922546
4,2012,USA,3,E,VGB,CHN,0.01725517027080059
4,2011,USA,4,BC,CYM,CHN,0.08531533181667328
4,2011,USA,4,BC,HKG,CHN,0.32729174657414833
4,2011,USA,4,BC,VGB,CHN,0.09238686412572861
4,2011,USA,3,E,CYM,CHN,0.7692883014678955
4,2011,USA,3,E,HKG,CHN,0.45770424604415894
4,2011,USA,3,E,VGB,CHN,0.02211666984061419
4,2010,USA,4,BC,CYM,CHN,0.08397921174764633
4,2010,USA,4,BC,HKG,CHN,0.37605392932891846
4,2010,USA,4,BC,VGB,CHN,0.08169174194335938
4,2010,USA,3,E,CYM,CHN,0.734618886388474
4,2010,USA,3,E,HKG,CHN,0.3980499505996704
4,2010,USA,3,E,VGB,CHN,0.2704174816608429
4,2009,USA,4,BC,CYM,CHN,0.08420618623495102
4,2009,USA,4,BC,HKG,CHN,0.29284316301345825
4,2009,USA,4,BC,VGB,CHN,0.11883745342493057
4,2009,USA,3,E,CYM,CHN,0.750296413898468
4,2009,USA,3,E,HKG,CHN,0.43217524886131287
4,2009,USA,3,E,VGB,CHN,0.12650614976882935
4,2008,USA,4,BC,CYM,CHN,0.056110817939043045
4,2008,USA,4,BC,HKG,CHN,0.1087527945637703
4,2008,USA,4,BC,VGB,CHN,0.10795744508504868
4,2008,USA,3,E,CYM,CHN,0.5029541553827617
4,2008,USA,3,E,HKG,CHN,0.41738268733024597
4,2008,USA,3,E,VGB,CHN,0.1217956393957138
4,2007,USA,4,BC,CYM,CHN,0.031516868621110916
4,2007,USA,4,BC,HKG,CHN,0.052783429622650146
4,2007,USA,4,BC,VGB,CHN,0.056747738271951675
4,2007,USA,3,E,CYM,CHN,0.24872931838035583
4,2007,USA,3,E,HKG,CHN,0.3550707697868347
4,2007,USA,3,E,VGB,CHN,0.04425087571144104
5,2020,USA,4,BC,CYM,CHN,0.4059613049030304
5,2020,USA,4,BC,HKG,CHN,0.20694753527641296
5,2020,USA,4,BC,VGB,CHN,0.1281529664993286
5,2020,USA,3,E,CYM,CHN,0.7727001905441284
5,2020,USA,3,E,HKG,CHN,0.2533479185907792
5,2020,USA,3,E,VGB,CHN,0.031841933727264404
5,2019,USA,4,BC,CYM,CHN,0.3446749356195292
5,2019,USA,4,BC,HKG,CHN,0.23654408752918243
5,2019,USA,4,BC,VGB,CHN,0.08742823451757431
5,2019,USA,3,E,CYM,CHN,0.7808597553288791
5,2019,USA,3,E,HKG,CHN,0.33876736894042864
5,2019,USA,3,E,VGB,CHN,0.028929926455020905
5,2018,USA,4,BC,CYM,CHN,0.3071298599243164
5,2018,USA,4,BC,HKG,CHN,0.2993977963924408
5,2018,USA,4,BC,VGB,CHN,0.08316785097122192
5,2018,USA,3,E,CYM,CHN,0.7862946391105652
5,2018,USA,3,E,HKG,CHN,0.36354899406433105
5,2018,USA,3,E,VGB,CHN,0.028283845633268356
5,2017,USA,4,BC,CYM,CHN,0.29840242862701416
5,2017,USA,4,BC,HKG,CHN,0.3155778646469116
5,2017,USA,4,BC,VGB,CHN,0.06739158183336258
5,2017,USA,3,E,CYM,CHN,0.8091719746589661
5,2017,USA,3,E,HKG,CHN,0.3513757288455963
5,2017,USA,3,E,VGB,CHN,0.020502088591456413
5,2016,USA,4,BC,CYM,CHN,0.22013158918211395
5,2016,USA,4,BC,HKG,CHN,0.4205038845539093
5,2016,USA,4,BC,VGB,CHN,0.08449509739875793
5,2016,USA,3,E,CYM,CHN,0.7755820751190186
5,2016,USA,3,E,HKG,CHN,0.3697955906391144
5,2016,USA,3,E,VGB,CHN,0.018528317274350958
5,2015,USA,4,BC,CYM,CHN,0.22124044597148895
5,2015,USA,4,BC,HKG,CHN,0.5350896716117859
5,2015,USA,4,BC,VGB,CHN,0.09203321486711502
5,2015,USA,3,E,CYM,CHN,0.7764638529100331
5,2015,USA,3,E,HKG,CHN,0.3929307758808136
5,2015,USA,3,E,VGB,CHN,0.026142532005906105
5,2014,USA,4,BC,CYM,CHN,0.17905290001946092
5,2014,USA,4,BC,HKG,CHN,0.4931183159351349
5,2014,USA,4,BC,VGB,CHN,0.10140375792980194
5,2014,USA,3,E,CYM,CHN,0.7761187419962133
5,2014,USA,3,E,HKG,CHN,0.36692482233047485
5,2014,USA,3,E,VGB,CHN,0.026038669049739838
5,2013,USA,4,BC,CYM,CHN,0.1421390175819397
5,2013,USA,4,BC,HKG,CHN,0.5019387006759644
5,2013,USA,4,BC,VGB,CHN,0.10129723697900772
5,2013,USA,3,E,CYM,CHN,0.6993195831370105
5,2013,USA,3,E,HKG,CHN,0.42993268370628357
5,2013,USA,3,E,VGB,CHN,0.020970823243260384
5,2012,USA,4,BC,CYM,CHN,0.11610827594995499
5,2012,USA,4,BC,HKG,CHN,0.5065537691116333
5,2012,USA,4,BC,VGB,CHN,0.07488667964935303
5,2012,USA,3,E,CYM,CHN,0.7072963540134641
5,2012,USA,3,E,HKG,CHN,0.4167076349258423
5,2012,USA,3,E,VGB,CHN,0.023557068780064583
5,2011,USA,4,BC,CYM,CHN,0.09278010576963425
5,2011,USA,4,BC,HKG,CHN,0.5875055193901062
5,2011,USA,4,BC,VGB,CHN,0.13750292360782623
5,2011,USA,3,E,CYM,CHN,0.7421511854023448
5,2011,USA,3,E,HKG,CHN,0.4434804916381836
5,2011,USA,3,E,VGB,CHN,0.036258336156606674
5,2010,USA,4,BC,CYM,CHN,0.0858495682477951
5,2010,USA,4,BC,HKG,CHN,0.6159452199935913
5,2010,USA,4,BC,VGB,CHN,0.046142219522131656
5,2010,USA,3,E,CYM,CHN,0.7421391606330872
5,2010,USA,3,E,HKG,CHN,0.40381860733032227
5,2010,USA,3,E,VGB,CHN,0.20034895837306976
5,2009,USA,4,BC,CYM,CHN,0.08257656544446945
5,2009,USA,4,BC,HKG,CHN,0.08420063312057455
5,2009,USA,4,BC,VGB,CHN,0.11277266591787338
5,2009,USA,3,E,CYM,CHN,0.6616007089614868
5,2009,USA,3,E,HKG,CHN,0.44562873244285583
5,2009,USA,3,E,VGB,CHN,0.2250497043132782
5,2008,USA,4,BC,CYM,CHN,0.06488469988107681
5,2008,USA,4,BC,HKG,CHN,0.2793987989425659
5,2008,USA,4,BC,VGB,CHN,0.06363724172115326
5,2008,USA,3,E,CYM,CHN,0.5148804187774658
5,2008,USA,3,E,HKG,CHN,0.4138765037059784
5,2008,USA,3,E,VGB,CHN,0.17681017518043518
5,2007,USA,4,BC,CYM,CHN,0.03435421362519264
5,2007,USA,4,BC,HKG,CHN,0.3949241638183594
5,2007,USA,4,BC,VGB,CHN,0.04189188405871391
5,2007,USA,3,E,CYM,CHN,0.27507349848747253
5,2007,USA,3,E,HKG,CHN,0.36447975039482117
5,2007,USA,3,E,VGB,CHN,0.0649980902671814
