,Total,Equities,Total LT Debt,LT Debt Treasury,LT Debt Agency,LT Debt Corp,ST Debt
Eswatini,*,*,*,*,*,0.00,*
Sweden,365450.54,314673.40,50174.15,41846.62,*,8238.66,603.00
Switzerland,1087041.79,682698.61,341146.71,242201.58,8328.16,90616.97,63196.47
Syria,*,*,0.00,0.00,0.00,0.00,0.00
Taiwan,716528.50,111893.12,598675.19,236076.37,208189.68,154409.14,5960.20
Tajikistan,*,*,*,*,*,*,*
Tanzania,1844.00,*,1825.71,1820.84,*,*,*
Thailand,98081.07,19775.64,62105.30,46296.14,13438.03,2371.13,16200.13
Togo,*,*,*,*,0.00,*,0.00
Tokelau,*,*,0.00,0.00,0.00,0.00,0.00
Tonga,*,*,0.00,0.00,0.00,0.00,0.00
Trinidad and Tobago,12428.14,4469.02,6383.39,2274.05,943.61,3165.73,1575.73
Tunisia,*,*,*,*,*,*,*
Turkey,3467.88,1120.06,1732.33,1671.15,*,*,615.49
Turkmenistan,*,*,0.00,0.00,0.00,0.00,0.00
Turks and Caicos Isl.,1920.37,1183.24,598.41,*,*,*,*
Tuvalu,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uganda,1091.97,*,600.22,*,*,*,*
Ukraine,21798.64,*,18862.13,18845.12,*,*,2888.80
United Arab Emirates,219507.77,146932.45,52376.16,45455.41,2838.21,4082.54,20199.17
United Kingdom,2626759.48,1456901.88,1070827.02,580348.98,55030.50,435447.54,99030.58
Uruguay,23087.06,3476.94,10844.41,8427.31,508.05,1909.05,8765.71
Uzbekistan,*,*,*,*,*,0.00,*
Vanuatu,*,*,*,*,0.00,*,*
Venezuela,5225.65,3091.03,1634.17,*,*,1276.19,500.46
Vietnam,33742.84,*,33593.64,33592.21,*,*,*
Wallis and Futuna,*,*,0.00,0.00,0.00,0.00,0.00
West Bank and Gaza,*,*,0.00,0.00,0.00,0.00,*
Western Sahara,*,*,*,0.00,0.00,*,0.00
Yemen,*,*,*,*,*,*,0.00
Zambia,*,*,*,*,*,*,*
Zimbabwe,*,*,*,0.00,0.00,*,0.00
Int. and reg. org.,128192.29,17291.00,90401.04,62510.19,10836.75,17054.09,20500.24
Country Unknown,96526.68,1284.36,95119.18,*,*,94887.49,*
Total Africa,99020.87,30570.80,42563.48,38170.59,1527.22,2865.67,25886.51
Total Asia,8081999.65,3061762.64,4792930.91,3244402.99,838430.33,710097.54,227306.14
Total Caribbean,3092712.52,1896849.94,979124.97,248996.36,77308.46,652820.16,216737.60
Total Europe,12010726.42,6586594.46,4829385.20,2325017.81,208381.37,2295986.01,594746.81
Total Latin America,678470.60,145814.55,477027.19,422519.22,19442.47,35065.48,55628.83
Australia/Oceania,629151.61,520449.14,94030.37,49238.85,7228.42,37563.19,14672.12
Total,26871819.16,13719015.99,11967295.91,6638762.52,1269623.36,4058910.03,1185507.25
Holdings of FOI,6146449.69,1554308.80,4368208.26,3543978.43,656710.99,167518.84,223932.66

