issuer_lei,ultimate_parent_lei,parent_country_iso,relationship_type,source
25490019JSKLY2BAPP59,25490019JSKLY2BAPP59,KY,SELF,GLEIF-RR+API
25490019KM1XIY7M0487,25490019KM1XIY7M0487,KY,SELF,GLEIF-RR+API
2549001ACVFAZRNMKL32,2549001ACVFAZRNMKL32,KY,SELF,GLEIF-RR+API
2549001FP00M2YWJYD98,2549001FP00M2YWJYD98,KY,SELF,GLEIF-RR+API
2549001G1E9UB7Y1WR96,2549001G1E9UB7Y1WR96,KY,SELF,GLEIF-RR+API
2549001JCRYETQY84B65,2549001JCRYETQY84B65,KY,SELF,GLEIF-RR+API
2549001LFFVBUD1OX384,2549001LFFVBUD1OX384,KY,SELF,GLEIF-RR+API
2549001NU08X5ZRD6A39,2549001NU08X5ZRD6A39,KY,SELF,GLEIF-RR+API
2549001SOZAHYTEJ2837,254900PK4JDH70IUWX18,HK,DIRECT,GLEIF-RR+API
2549001TBA76KDJQIQ68,2549001TBA76KDJQIQ68,KY,SELF,GLEIF-RR+API
2549001TKORUCHQP7S80,2549001PYIAZRH6E9I05,HK,ULTIMATE,GLEIF-RR+API
2549001UGYKGM9DWMY60,2549001UGYKGM9DWMY60,KY,SELF,GLEIF-RR+API
2549001XBZ4DU4T7EC48,2549001XBZ4DU4T7EC48,KY,SELF,GLEIF-RR+API
2549001XXO8PLKLMHF84,2549001XXO8PLKLMHF84,KY,SELF,GLEIF-RR+API
2549001Z9KHQTRR29237,2549001Z9KHQTRR29237,KY,SELF,GLEIF-RR+API
2549001ZYXDVCT6R4I31,2549001ZYXDVCT6R4I31,KY,SELF,GLEIF-RR+API
25490021ZJ1HSWSNGR97,25490021ZJ1HSWSNGR97,KY,SELF,GLEIF-RR+API
25490023IKJN5F1FKH37,25490023IKJN5F1FKH37,KY,SELF,GLEIF-RR+API
25490025Q5WQX513IQ05,25490025Q5WQX513IQ05,KY,SELF,GLEIF-RR+API
25490028U8Y2XMZWXO46,25490028U8Y2XMZWXO46,KY,SELF,GLEIF-RR+API
2549002AFC0XU0PWCW23,3003003TRPHLHZD2IF61,CN,ULTIMATE,GLEIF-RR+API
2549002BXC788OTPUW39,2549002BXC788OTPUW39,KY,SELF,GLEIF-RR+API
2549002FHBAIITU39C41,2549002FHBAIITU39C41,VG,SELF,GLEIF-RR+API
2549002JL5N18ARIHX27,2549002JL5N18ARIHX27,KY,SELF,GLEIF-RR+API
2549002NRPBIF0UZPU88,2549002NRPBIF0UZPU88,KY,SELF,GLEIF-RR+API
2549002O2LJ1LE1W2D54,2549002O2LJ1LE1W2D54,KY,SELF,GLEIF-RR+API
2549002OI2H8FLV7IB62,300300SKXXC439QCQ965,CN,ULTIMATE,GLEIF-RR+API
2549002QJ5W02381E840,2549002QJ5W02381E840,VG,SELF,GLEIF-RR+API
2549002R0TTC87W9EH67,2549002R0TTC87W9EH67,KY,SELF,GLEIF-RR+API
2549002REAIHM8QTTT13,2549002REAIHM8QTTT13,KY,SELF,GLEIF-RR+API
2549002RK7W6TK0Q0E16,2549002RK7W6TK0Q0E16,KY,SELF,GLEIF-RR+API
2549002TXU15P8D3F498,2549002TXU15P8D3F498,VG,SELF,GLEIF-RR+API
2549002VGFUP41MOIY36,2549002VGFUP41MOIY36,KY,SELF,GLEIF-RR+API
2549002WHK9XGQC01O62,2549002WHK9XGQC01O62,BM,SELF,GLEIF-RR+API
2549002WXX0AM0J4J905,2549001PYIAZRH6E9I05,HK,ULTIMATE,GLEIF-RR+API
2549002XHTMWO4GGPF51,2549002XHTMWO4GGPF51,KY,SELF,GLEIF-RR+API
